15
0,10749,20774,53370,18600,46091,47807,29191,31940,30289,30645,27603,33767,82264,98890
10749,0,13208,49787,16388,38301,40445,20097,22752,21246,21616,18430,23231,72334,89919
20774,13208,0,37282,9659,25476,27426,8994,11678,9958,10279,7685,17030,62136,78128
53370,49787,37282,0,34833,23673,20980,35725,34997,35028,34811,36777,44142,57397,61695
18600,16388,9659,34833,0,29753,30864,17592,19915,18272,18505,16693,26599,69087,83202
46091,38301,25476,23673,29753,0,3098,18738,16571,17627,17271,20358,23440,40835,53449
47807,40445,27426,20980,30864,3098,0,21266,19257,20188,19843,22843,26467,41261,52528
29191,20097,8994,35725,17592,18738,21266,0,2751,1151,1522,1671,10157,53247,69896
31940,22752,11678,34997,19915,16571,19257,2751,0,1721,1426,4357,9529,50507,67194
30289,21246,9958,35028,18272,17627,20188,1151,1721,0,371,2823,10215,52211,68763
30645,21616,10279,34811,18505,17271,19843,1522,1426,371,0,3194,10258,51877,68396
27603,18430,7685,36777,16693,20358,22843,1671,4357,2823,3194,0,10306,54760,71545
33767,23231,17030,44142,26599,23440,26467,10157,9529,10215,10258,10306,0,49648,68824
82264,72334,62136,57397,69087,40835,41261,53247,50507,52211,51877,54760,49648,0,23584
98890,89919,78128,61695,83202,53449,52528,69896,67194,68763,68396,71545,68824,23584,0
